id,type,ip,user_id,date
498,,172.59.184.15,15,2024-11-20 04:50:51.247538
499,,172.59.184.15,15,2024-11-20 04:50:51.249315
500,,107.212.215.108,26,2024-11-22 06:43:38.520930
501,,172.56.120.228,9,2024-11-20 04:55:08.280274
502,,149.88.25.130,9,2024-11-20 05:30:36.157521
503,,149.22.84.133,9,2024-11-20 05:35:36.146604
504,,149.22.80.115,9,2024-11-20 05:40:36.265472
505,,138.199.21.211,9,2024-11-20 05:45:37.045455
506,,106.193.185.51,17,2024-11-20 12:06:27.589072
507,,172.58.242.98,16,2024-11-20 11:02:50.635255
508,,172.58.242.98,16,2024-11-20 11:02:50.653589
509,,174.242.136.166,18,2024-11-20 11:40:30.254916
510,,152.26.89.233,24,2024-11-20 18:49:06.870445
511,,38.73.227.197,16,2024-11-22 12:40:33.582052
512,,45.56.104.210,18,2024-11-21 13:28:42.455040
513,,172.56.199.201,18,2024-11-20 14:22:34.292984
514,,172.56.199.201,18,2024-11-20 14:22:34.297198
515,,128.135.204.171,15,2024-11-20 20:01:27.447476
516,,128.135.204.225,15,2024-11-20 20:59:10.818007
517,,128.135.204.165,15,2024-11-20 18:39:19.033668
518,,128.135.204.241,10,2024-11-20 19:33:22.585581
519,,172.56.192.249,18,2024-11-20 14:45:50.645844
520,,172.56.192.249,18,2024-11-20 14:45:50.657526
521,,128.135.204.105,15,2024-11-20 21:08:19.702756
